[INFO ] [62] [2021-01-30 19:17:22,733] Preparing import process for data catalog: Reifengundlach
[INFO ] [39] [2021-01-30 19:20:21,987] Preparing import process for data catalog: Falken
[INFO ] [22] [2021-01-30 20:17:22,930] Preparing import process for data catalog: Reifengundlach
[INFO ] [126] [2021-01-30 20:20:22,150] Preparing import process for data catalog: Falken
[INFO ] [80] [2021-01-30 21:17:23,132] Preparing import process for data catalog: Reifengundlach
[INFO ] [47] [2021-01-30 21:20:22,329] Preparing import process for data catalog: Falken
[INFO ] [88] [2021-01-30 22:17:23,355] Preparing import process for data catalog: Reifengundlach
[INFO ] [41] [2021-01-30 22:20:22,630] Preparing import process for data catalog: Falken
[INFO ] [48] [2021-01-30 23:20:22,831] Preparing import process for data catalog: Falken
[INFO ] [57] [2021-01-31 00:20:23,084] Preparing import process for data catalog: Falken
[INFO ] [99] [2021-01-31 01:20:23,329] Preparing import process for data catalog: Falken
[INFO ] [108] [2021-01-31 02:20:23,557] Preparing import process for data catalog: Falken
[INFO ] [18] [2021-01-31 03:20:23,847] Preparing import process for data catalog: Falken
[INFO ] [139] [2021-01-31 04:20:24,140] Preparing import process for data catalog: Falken
[INFO ] [92] [2021-01-31 05:20:24,299] Preparing import process for data catalog: Falken
[INFO ] [45] [2021-01-31 06:17:25,578] Preparing import process for data catalog: Reifengundlach
[INFO ] [28] [2021-01-31 06:20:24,628] Preparing import process for data catalog: Falken
[INFO ] [124] [2021-01-31 07:17:25,655] Preparing import process for data catalog: Reifengundlach
[INFO ] [62] [2021-01-31 07:20:24,876] Preparing import process for data catalog: Falken
[INFO ] [112] [2021-01-31 08:20:25,128] Preparing import process for data catalog: Falken
[INFO ] [119] [2021-01-31 09:17:26,097] Preparing import process for data catalog: Reifengundlach
[INFO ] [84] [2021-01-31 09:20:25,286] Preparing import process for data catalog: Falken
[INFO ] [105] [2021-01-31 10:20:25,608] Preparing import process for data catalog: Falken
[INFO ] [3] [2021-01-31 11:17:26,608] Preparing import process for data catalog: Reifengundlach
[INFO ] [25] [2021-01-31 11:20:25,766] Preparing import process for data catalog: Falken
[INFO ] [69] [2021-01-31 12:17:26,800] Preparing import process for data catalog: Reifengundlach
[INFO ] [34] [2021-01-31 12:20:26,016] Preparing import process for data catalog: Falken
